ID,Language_ID,Parameter_ID,Value
smi-pro-provenance,smi-pro,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
smj-name,smj,name,Lule Sami
smj-family,smj,family,Uralic (Saami)
smj-context,smj,context,"The Saami language of the Lule river valley in Sweden and neighbouring Norway, second-largest of the family, with an orthography settled in 1983 and a growing written use. It reaches this library through the etymology desk's cognate lists."
smj-provenance,smj,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
sms-name,sms,name,Skolt Sami
sms-family,sms,family,Uralic (Saami)
sms-context,sms,context,"The Eastern Saami language of the Skolts, resettled from Petsamo into Finnish Inari after the Second World War; a few hundred speakers and an active revitalization program sustain it. It reaches this library through the etymology desk's cognate lists."
sms-provenance,sms,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
sn-name,sn,name,Shona
sn-family,sn,family,Niger-Congo (Bantu)
sn-context,sn,context,"The Bantu language of most of Zimbabwe, standardized in the 1930s over the Zezuru, Karanga and Manyika dialects, with one of southern Africa's larger literatures. It reaches this library through the etymology desk's cognate lists."
sn-provenance,sn,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
sog-name,sog,name,Sogdian
sog-family,sog,family,Iranian (Eastern)
sog-context,sog,context,"Sogdian is the Middle Iranian language of Sogdiana — Samarkand and Bukhara — and the great trade language of the Silk Road, carried by merchant colonies as far as China. It is attested from the early 4th-century 'Ancient Letters' to a rich literature of the 8th-10th centuries, Buddhist, Manichaean and Christian, each community writing its own script; Yaghnobi in Tajikistan is its living descendant. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Iranian relatives."
sog-provenance,sog,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
spa-name,spa,name,Spanish
spa-family,spa,family,Romance (Ibero-Romance)
spa-context,spa,context,"Spanish is the Ibero-Romance of Castile become a world language: official in Spain and most of Latin America, with close to half a billion native speakers — by that count second only to Mandarin. Grown from the Vulgar Latin of the Cantabrian frontier and spread by the Reconquista and the American empire, it keeps a famously phonemic orthography tended since 1713 by the Real Academia. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Romance relatives."
spa-provenance,spa,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
spx-name,spx,name,South Picene
spx-family,spx,family,Sabellic < Italic < Indo-European
spx-context,spx,context,"ISO 639-3 spx covers the ""Old Sabellic"" inscriptions of central-Adriatic Italy (6th–4th c. BCE): South Picene proper plus the Pre-Samnite/Old Samnite texts CEIPoM files under Old Sabellic."
sq-name,sq,name,Albanian
sq-family,sq,family,Indo-European (Albanian)
sq-context,sq,context,The ISO 639-1 alias of sqi — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
sq-provenance,sq,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
sqi-name,sqi,name,Albanian
sqi-family,sqi,family,Albanian
sqi-context,sqi,context,"Albanian constitutes its own branch of Indo-European, attested in writing only since the 15th century though its lineage in the Balkans is far older — descent from Illyrian is the common though unprovable hypothesis. The modern standard, fixed at the 1972 Congress of Orthography on a largely Tosk basis, is official in Albania and Kosovo. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Indo-European relatives."
sqi-provenance,sqi,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
sqj-pro-name,sqj-pro,name,Proto-Albanian
sqj-pro-family,sqj-pro,family,Indo-European (Albanian)
sqj-pro-context,sqj-pro,context,"The reconstructed ancestor of Albanian in the centuries before its late medieval attestation, its shape recovered largely from the systematic treatment of Latin, Slavic and Greek loanwords absorbed along the way. It reaches this library through the etymology desk's cognate lists as a reconstruction node."
sqj-pro-provenance,sqj-pro,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
src-name,src,name,Sardinian (Logudorese)
src-family,src,family,Romance (Sardinian)
src-context,src,context,"Logudorese is the central-northern of Sardinian's main written varieties, and Sardinian is the most conservative of the Romance languages — the first branch to split from the rest, famously keeping Latin's hard velars (kentu for 'hundred') and vowel system where the mainland innovated. The wordlists filed here record the Logudoro and Nuoro varieties. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Romance relatives."
src-provenance,src,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
srh-name,srh,name,Sarikoli
srh-family,srh,family,"Iranian (Eastern, Pamir)"
srh-context,srh,context,"Sarikoli is an Eastern Iranian language of the Pamir group, spoken by the Tajiks of Tashkurgan county in Xinjiang — the only Iranian language spoken essentially wholly within China, and the easternmost living member of the family. It is unwritten; its speakers use Uyghur and Chinese for writing. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Iranian relatives."
srh-provenance,srh,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
srm-name,srm,name,Saramaccan
srm-family,srm,family,English-based creole
srm-context,srm,context,"Saramaccan is a maroon creole of the Suriname interior, English-based with an unusually large Portuguese component and substantial Gbe and Kikongo substrate material. Held as the WOLD Saramaccan vocabulary (Jeff Good; Haspelmath & Tadmor eds. 2009) — loanword-status and donor-language evidence at the etym desk."
srm-provenance,srm,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
srn-name,srn,name,Sranan Tongo
srn-family,srn,family,English-lexified creole
srn-context,srn,context,"The English-based creole that became Suriname's lingua franca, its lexicon layered with Dutch, Portuguese and West African material. Once suppressed in schools, it now carries popular music and everyday urban life. It reaches this library through the etymology desk's cognate lists."
srn-provenance,srn,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
ss-name,ss,name,Swazi
ss-family,ss,family,Niger-Congo (Bantu)
ss-context,ss,context,"SiSwati, the Nguni language of Eswatini and adjacent South Africa, co-official in both, close kin to Zulu within the Nguni continuum. It reaches this library through the etymology desk's cognate lists."
ss-provenance,ss,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
st-name,st,name,Sotho
st-family,st,family,Niger-Congo (Bantu)
st-context,st,context,"Sesotho, the Southern Sotho language of Lesotho and South Africa, among the first African languages with a rich mission-era literature, crowned by Thomas Mofolo's novel Chaka. It reaches this library through the etymology desk's cognate lists."
st-provenance,st,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
stq-name,stq,name,Saterland Frisian
stq-family,stq,family,"Indo-European (Germanic, West)"
stq-context,stq,context,"The last living remnant of Old East Frisian, spoken by a couple of thousand people in the Saterland fen villages of Lower Saxony after Frisian elsewhere in East Frisia gave way to Low German. It reaches this library through the etymology desk's cognate lists as the East Frisian witness beside West and North Frisian."
stq-provenance,stq,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
sux-name,sux,name,Sumerian
sux-family,sux,family,language isolate
sux-context,sux,context,"The language isolate of the earliest written literature, from Ur III royal inscriptions to the great lexical lists."
sux-provenance,sux,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
sv-name,sv,name,Swedish
sv-family,sv,family,"Indo-European (Germanic, North)"
sv-context,sv,context,The ISO 639-1 alias of swe — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
sv-provenance,sv,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
svm-name,svm,name,Slavomolisano
svm-family,svm,family,"Indo-European (Slavic, South)"
svm-context,svm,context,"Molise Croatian, the Slavic island of three villages in Italy's Molise, planted by 15th–16th-century refugees from the Dalmatian hinterland and preserving a Štokavian-Ikavian dialect under heavy Italian influence. It reaches this library through the etymology desk's cognate lists."
svm-provenance,svm,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
sw-name,sw,name,Swahili
sw-family,sw,family,Niger-Congo (Bantu)
sw-context,sw,context,The ISO 639-1 code for Swahili — see the swh (Coastal Swahili) dossier; Wiktionary descendant lists arrive under this two-letter form.
sw-provenance,sw,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
swe-name,swe,name,Swedish
swe-family,swe,family,"Germanic (North, East Norse) < Indo-European"
swe-context,swe,context,"The North Germanic language of Sweden, on the East Norse side of the family: runic Swedish on the Viking-Age stones, Old Swedish in the medieval laws, and a modern standard consolidated from the 16th-century Gustav Vasa Bible onward. In this library the code rides Rundata's modern-Swedish translation lane — 3,393 records rendering the runic inscriptions into today's Swedish (the carved originals live under non and the runic lanes) — with IE-CoR's Swedish and Old Swedish varieties below."
swe-provenance,swe,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
swg-name,swg,name,Swabian
swg-family,swg,family,"Indo-European (Germanic, West)"
swg-context,swg,context,"The Alemannic dialect group of Württemberg and Bavarian Swabia, marked by its diminutive -le and distinctive vowel breaking, and carried by emigrants to enclaves from Hungary to the Caucasus. It reaches this library through the etymology desk's cognate lists."
swg-provenance,swg,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
swh-name,swh,name,Swahili
swh-family,swh,family,Niger-Congo (Bantu)
swh-context,swh,context,"Swahili is a Bantu language of the East African coast and the region's great lingua franca, its lexicon layered with centuries of Arabic and later English borrowing. Held as the WOLD Swahili vocabulary (Thilo Schadeberg; Haspelmath & Tadmor eds. 2009) — loanword-status and donor-language evidence at the etym desk."
swh-provenance,swh,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
syc-name,syc,name,Classical Syriac
syc-family,syc,family,Aramaic < Northwest Semitic < Semitic
syc-context,syc,context,"Digital Syriac Corpus (632 TEI documents, P31-4) and the ETCBC Peshitta OT (the ot alignment hub's seventh leg, P31-4): syc extends the Aramaic axis by a millennium."
szl-name,szl,name,Silesian
szl-family,szl,family,"Indo-European (Slavic, West)"
szl-context,szl,context,"The West Slavic speech of Upper Silesia, close to Polish but heavily layered with German and Czech contact; hundreds of thousands declared it their language in recent Polish censuses, and a written standard is coalescing. It reaches this library through the etymology desk's cognate lists."
szl-provenance,szl,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
ta-name,ta,name,Tamil
ta-family,ta,family,Dravidian
ta-context,ta,context,"The oldest continuously literary Dravidian language, its Sangam poetry reaching back two millennia, official in Tamil Nadu, Sri Lanka and Singapore; the library's ta-Latn dossier holds its romanized twin. It reaches this library through the etymology desk's cognate lists."
ta-provenance,ta,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
ta-Latn-name,ta-Latn,name,Tamil (romanized)
ta-Latn-family,ta-Latn,family,Dravidian
ta-Latn-context,ta-Latn,context,One GRETIL stray.
ta-Latn-provenance,ta-Latn,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
tbc-name,tbc,name,Takia
tbc-family,tbc,family,Austronesian (Oceanic)
tbc-context,tbc,context,"Takia is a Western Oceanic (Austronesian) language of Karkar Island off Madang, Papua New Guinea, a textbook case of metatypy under contact with the Papuan language Waskia. Held as the WOLD Takia vocabulary (Malcolm Ross; Haspelmath & Tadmor eds. 2009) — loanword-status and donor-language evidence at the etym desk."
tbc-provenance,tbc,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
tcs-name,tcs,name,Torres Strait Creole
tcs-family,tcs,family,English-lexified creole
tcs-context,tcs,context,"Yumplatok, the creole of the Torres Strait Islands and nearby Cape York, an English-lexified Pacific creole with island-language substrate, now the region's main lingua franca. It reaches this library through the etymology desk's cognate lists."
tcs-provenance,tcs,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
te-name,te,name,Telugu
te-family,te,family,Dravidian
te-context,te,context,"The most-spoken Dravidian language, official in Andhra Pradesh and Telangana, with a court literature from Nannaya's 11th-century Mahabharata and a script of full rounded curves. It reaches this library through the etymology desk's cognate lists."
te-provenance,te,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
tg-name,tg,name,Tajik
tg-family,tg,family,Indo-European (Iranian)
tg-context,tg,context,"The Persian of Central Asia, standardized in Soviet times in Cyrillic script and official in Tajikistan, keeping vowels and vocabulary that Iranian Persian has moved away from. It reaches this library through the etymology desk's cognate lists."
tg-provenance,tg,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
th-name,th,name,Thai
th-family,th,family,Kra-Dai
th-context,th,context,The ISO 639-1 alias of tha — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
th-provenance,th,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
tha-name,tha,name,Thai
tha-family,tha,family,Kra-Dai (Tai)
tha-context,tha,context,"Thai is a Tai language of the Kra-Dai family and the national language of Thailand, with deep learned strata from Pali, Sanskrit, and Khmer. Held as the WOLD Thai vocabulary (Titima Suthiwan; Haspelmath & Tadmor eds. 2009) — loanword-status and donor-language evidence at the etym desk."
tha-provenance,tha,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
tkl-name,tkl,name,Tokelauan
tkl-family,tkl,family,Austronesian (Polynesian)
tkl-context,tkl,context,"The Polynesian language of the Tokelau atolls and their larger diaspora in New Zealand, close kin to Tuvaluan and Samoan. It reaches this library through the etymology desk's cognate lists."
tkl-provenance,tkl,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
tks-name,tks,name,Takestani
tks-family,tks,family,"Iranian (Northwestern, Tati)"
tks-context,tks,context,"Takestani is a variety of Tati, the cluster of Northwestern Iranian dialects scattered through the Qazvin and Zanjan region of Iran — remnants, often linked with the old Azari speech, of the Iranian that preceded Turkic in Azerbaijan. Spoken around the town of Takestan, it preserves grammatical gender and other archaisms long lost in Persian. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Iranian relatives."
tks-provenance,tks,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
tn-name,tn,name,Tswana
tn-family,tn,family,Niger-Congo (Bantu)
tn-context,tn,context,"Setswana, the national language of Botswana and a major language of South Africa's North West, one of the earliest southern African languages committed to print by mission presses. It reaches this library through the etymology desk's cognate lists."
tn-provenance,tn,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
to-name,to,name,Tongan
to-family,to,family,Austronesian (Polynesian)
to-context,to,context,"The national language of Tonga, with Niuean the surviving Tongic branch of Polynesian, keeper of an elaborate honorific register for chiefs and king. It reaches this library through the etymology desk's cognate lists."
to-provenance,to,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
tpi-name,tpi,name,Tok Pisin
tpi-family,tpi,family,English-lexified creole
tpi-context,tpi,context,"Papua New Guinea's principal lingua franca, an English-lexified Melanesian creole with German and Austronesian layers from its plantation origins, official and increasingly a first language in towns. It reaches this library through the etymology desk's cognate lists."
tpi-provenance,tpi,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
tr-name,tr,name,Turkish
tr-family,tr,family,Turkic (Oghuz)
tr-context,tr,context,"The largest Turkic language, continuing Ottoman speech through Atatürk's 1928 script reform and the sweeping language purification that followed; the library's ota dossier covers its Ottoman ancestor. It reaches this library through the etymology desk's cognate lists."
tr-provenance,tr,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
tri-name,tri,name,Trió
tri-family,tri,family,Cariban
tri-context,tri,context,"The Cariban language of the Trio people of the Suriname-Brazil borderlands, a few thousand speakers strong, its lexicon carrying Dutch and Sranan trade loans. It reaches this library through the etymology desk's cognate lists."
tri-provenance,tri,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
trm-name,trm,name,Tregami
trm-family,trm,family,Indo-European (Nuristani)
trm-context,trm,context,"A small Nuristani language of a few villages in the Tregam valley of Kunar, Afghanistan, closest to Waigali, with speaker counts in the low thousands. It reaches this library through the etymology desk's cognate lists."
trm-provenance,trm,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
tt-name,tt,name,Tatar
tt-family,tt,family,Turkic (Kipchak)
tt-context,tt,context,"The Kipchak Turkic language of the Volga Tatars, official in Tatarstan, heir to the literary tradition of Kazan and the wider Volga-Ural Muslim book culture. It reaches this library through the etymology desk's cognate lists."
tt-provenance,tt,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
txb-name,txb,name,Tocharian B
txb-family,txb,family,Tocharian
txb-context,txb,context,"Tocharian B is one of the two Tocharian languages, the easternmost branch of Indo-European, spoken in the oasis city-states of the northern Tarim Basin in today's Xinjiang and attested in Buddhist manuscripts of roughly the 5th-10th centuries CE written in a Central Asian Brahmi. The language of Kucha, it is the better attested of the pair and was still a living vernacular in the manuscript era; Tocharian's discovery around 1900 — a centum branch at Indo-European's far eastern edge — upended the old satem/centum geography. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Indo-European relatives."
txb-provenance,txb,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
tzz-name,tzz,name,Tzotzil (Zinacantán)
tzz-family,tzz,family,Mayan
tzz-context,tzz,context,"Tzotzil is a Mayan language of highland Chiapas, Mexico; the dataset held here records the variety of Zinacantán, in long contact with Spanish. Held as the WOLD Zinacantán Tzotzil vocabulary (Cecil H. Brown; Haspelmath & Tadmor eds. 2009) — loanword-status and donor-language evidence at the etym desk."
tzz-provenance,tzz,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
ug-name,ug,name,Uyghur
ug-family,ug,family,Turkic (Karluk)
ug-context,ug,context,"The Karluk Turkic language of the Tarim oases, successor to the Chagatai literary tradition, written in a modified Arabic script in Xinjiang. It reaches this library through the etymology desk's cognate lists."
ug-provenance,ug,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
uga-name,uga,name,Ugaritic
uga-family,uga,family,Northwest Semitic
uga-context,uga,context,A lexical-list trace from the cuneiform shelf.
uga-provenance,uga,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
uk-name,uk,name,Ukrainian
uk-family,uk,family,"Indo-European (Slavic, East)"
uk-context,uk,context,The ISO 639-1 alias of ukr — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
uk-provenance,uk,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
ukr-name,ukr,name,Ukrainian
ukr-family,ukr,family,Slavic (East)
ukr-context,ukr,context,"Ukrainian is the East Slavic language of Ukraine, written in Cyrillic and descending, like Russian and Belarusian, from the speech of Kyivan Rus, but shaped by centuries under Poland-Lithuania. Repeatedly banned from print under the tsars and constricted under the Soviets, it is today the state language of some thirty-plus million speakers. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Slavic relatives."
ukr-provenance,ukr,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
uln-name,uln,name,Unserdeutsch
uln-family,uln,family,German-lexified creole
uln-context,uln,context,"Rabaul Creole German, the world's only German-based creole, formed by mixed-race children at a Catholic mission near Rabaul in German New Guinea around 1900; some dozens of elderly speakers remain, mostly in Australia. It reaches this library through the etymology desk's cognate lists."
uln-provenance,uln,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
umc-name,umc,name,Marrucinian
umc-family,umc,family,"Indo-European (Italic, Sabellic)"
umc-context,umc,context,"The Sabellic speech of the Marrucini on the Adriatic side of central Italy, known principally from the bronze of Rapino; it neighbours Marsian and Paelignian in the Oscan orbit. It reaches this library through the etymology desk's cognate lists."
umc-provenance,umc,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
umu-name,umu,name,Munsee
umu-family,umu,family,Algic (Algonquian)
umu-context,umu,context,"The northern Delaware language, once spoken around the lower Hudson — Manhattan's name is a Munsee word — and now critically endangered at Moraviantown in Ontario. It reaches this library through the etymology desk's cognate lists."
umu-provenance,umu,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
und-name,und,name,undetermined
und-family,und,family,(BCP-47 placeholder)
und-context,und,context,"The BCP-47 ""undetermined"" tag — a few documents whose language upstream never states."
und-provenance,und,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
und-Ogam-name,und-Ogam,name,undetermined (ogham)
und-Ogam-family,und-Ogam,family,(BCP-47 placeholder)
und-Ogam-context,und-Ogam,context,"Ogham whose language upstream declines to name: 26 OG(H)AM-corpus layer documents, overwhelmingly the Scottish series (Logie Elphinstone, St Vigeans, Kirriemuir, Monifieth…) whose readings resist linguistic assignment — the famously opaque Pictish-area oghams that upstream won't even commit to xpi. The und base subtag is BCP-47 ""undetermined""; -Ogam is the one thing the stones do state, their script."
und-Ogam-provenance,und-Ogam,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
unm-name,unm,name,Unami
unm-family,unm,family,Algic (Algonquian)
unm-context,unm,context,"The southern Delaware language of the Lenape of the Delaware valley, later of Oklahoma, whose last first-language speaker died in 2002; tribal programs now revive it. It reaches this library through the etymology desk's cognate lists."
unm-provenance,unm,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
urd-name,urd,name,Urdu
urd-family,urd,family,Indo-Aryan (Central)
urd-context,urd,context,"Urdu is the Persianized standard of Hindustani, written in the Perso-Arabic Nastaliq hand, official in Pakistan and one of India's scheduled languages. Grown from the Khari Boli of Delhi in the mixed milieu of the Mughal centuries, it shares its grammar and core lexicon with Hindi while drawing its high register from Persian and Arabic, and it carries the ghazal tradition of Mir and Ghalib. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Indo-Aryan relatives."
urd-provenance,urd,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
urj-name,urj,name,Uralic
urj-context,urj,context,"The Uralic family — Proto-Finnic (urj-fin-pro), Proto-Permic (urj-prm-pro), Proto-Uralic (urj-pro); its languages preserve early Germanic/Baltic/Slavic loans."
urj-provenance,urj,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
urj-fin-pro-name,urj-fin-pro,name,Proto-Finnic
urj-fin-pro-family,urj-fin-pro,family,Uralic (Finnic)
urj-fin-pro-context,urj-fin-pro,context,"The reconstructed ancestor of Finnish, Estonian, Karelian, Veps, Votic and Livonian, shaped around the Gulf of Finland and rich in Baltic and Germanic loan strata that anchor its chronology. It reaches this library through the etymology desk's cognate lists as a reconstruction node."
urj-fin-pro-provenance,urj-fin-pro,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
urj-pro-name,urj-pro,name,Proto-Uralic
urj-pro-family,urj-pro,family,Uralic
urj-pro-context,urj-pro,context,"The reconstructed common ancestor of the Uralic family, from Saami and Finnic to Hungarian, Mansi and Samoyedic, usually placed near the Urals some four to six thousand years ago. It reaches this library through the etymology desk's cognate lists as the family's root node."
urj-pro-provenance,urj-pro,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
uz-name,uz,name,Uzbek
uz-family,uz,family,Turkic (Karluk)
uz-context,uz,context,"The Karluk Turkic language of Uzbekistan, direct heir of Chagatai and its Timurid literature, its vowel harmony eroded by deep Persian contact; it has shifted officially to Latin script. It reaches this library through the etymology desk's cognate lists."
uz-provenance,uz,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
vec-name,vec,name,Venetian
vec-family,vec,family,Indo-European (Romance)
vec-context,vec,context,"The Romance language of Venice and the Veneto, distinct from the Gallo-Italic group around it, once the prestige speech of a maritime empire that scattered loanwords — arsenal, gondola, ghetto among them — across the Mediterranean and Europe. Emigration carried it to living communities in Brazil and Mexico. It reaches this library through the etymology desk's cognate lists."
vec-provenance,vec,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
vep-name,vep,name,Veps
vep-family,vep,family,Uralic (Finnic)
vep-context,vep,context,"The easternmost Finnic language, spoken between Lakes Onega, Ladoga and Beloye; its lack of vowel harmony and heavy Russian contact set it apart, and its several thousand speakers sustain a small written revival. It reaches this library through the etymology desk's cognate lists."
vep-provenance,vep,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
vi-name,vi,name,Vietnamese
vi-family,vi,family,Austroasiatic
vi-context,vi,context,The ISO 639-1 alias of vie — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
vi-provenance,vi,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
vic-name,vic,name,Virgin Islands Creole
vic-family,vic,family,English-lexified creole
vic-context,vic,context,"The English-lexified creole of the US and British Virgin Islands and nearby Dutch islands, which grew up beside — and eventually replaced — the Dutch creole Negerhollands on the same islands. It reaches this library through the etymology desk's cognate lists."
vic-provenance,vic,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
vie-name,vie,name,Vietnamese
vie-family,vie,family,Austroasiatic (Vietic)
vie-context,vie,context,"Vietnamese is a Vietic language of the Austroasiatic family and the national language of Vietnam, its lexicon dominated by Sino-Vietnamese borrowings with later French additions. Held as the WOLD Vietnamese vocabulary (Mark Alves; Haspelmath & Tadmor eds. 2009) — loanword-status and donor-language evidence at the etym desk."
vie-provenance,vie,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
vls-name,vls,name,West Flemish
vls-family,vls,family,"Germanic (West, Low Franconian)"
vls-context,vls,context,"West Flemish is the Low Franconian speech of Belgium's West Flanders, spilling into neighboring corners of France around Dunkirk and of the Dutch province of Zeeland — distinct enough in phonology from Standard Dutch that many treat it as a regional language, with around a million speakers. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Germanic relatives."
vls-provenance,vls,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
vmf-name,vmf,name,East Franconian
vmf-family,vmf,family,"Indo-European (Germanic, West)"
vmf-context,vmf,context,"The transitional German dialect group of Franconia around Würzburg, Bamberg and Nuremberg, standing between Central and Upper German; ISO labels it Mainfränkisch. It reaches this library through the etymology desk's cognate lists."
vmf-provenance,vmf,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
vo-name,vo,name,Volapük
vo-family,vo,family,constructed
vo-context,vo,context,"Johann Martin Schleyer's 1879 world language, the first constructed auxiliary to win a mass movement before Esperanto eclipsed it; its heavily deformed English and Romance roots make it a curiosity in descendant lists. It reaches this library through the etymology desk's cognate lists."
vo-provenance,vo,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
vot-name,vot,name,Votic
vot-family,vot,family,Uralic (Finnic)
vot-context,vot,context,"The nearly extinct Finnic language of a couple of villages in western Ingria, closest kin to Estonian, with only a handful of speakers left in the 21st century. It reaches this library through the etymology desk's cognate lists."
vot-provenance,vot,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
wa-name,wa,name,Walloon
wa-family,wa,family,"Indo-European (Romance, Oïl)"
wa-context,wa,context,The ISO 639-1 alias of wln — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
wa-provenance,wa,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
wae-name,wae,name,Walser German
wae-family,wae,family,"Indo-European (Germanic, West)"
wae-context,wae,context,"The Highest Alemannic of the Walser migrations, carried in the 13th–14th centuries from the upper Valais to a crescent of high villages in Italy, Switzerland, Liechtenstein and Austria, where island dialects preserve striking archaisms. It reaches this library through the etymology desk's cognate lists."
